time,uol,wol,uol_block,wol_block,upi,wpi,upi_block,wpi_block,upid,wpid,upid_block,wpid_block,r
6.5,1,8.98031846328888,1,8.98031846328888,0.0686613854306126,0.491710846007391,0.0686613854306126,0.491710846007391,0.0677662299823324,0.669932391475992,0.0677662299823324,0.669932391475992,1
6.6,1,10.0595454370934,1,10.0595454370934,0.0696684157091015,0.501258875503735,0.0696684157091015,0.501258875503735,0.0684380644437367,0.676609656451747,0.0684380644437367,0.676609656451747,1
6.7,1,11.1249931687253,1,11.1249931687253,0.0706528366514858,0.514320182111963,0.0706528366514858,0.514320182111963,0.0690963181981802,0.683107215166881,0.0690963181981802,0.683107215166881,1
6.8,1,12.155274650579,1,12.155274650579,0.0716077185659953,0.530797903378589,0.0716077185659953,0.530797903378589,0.0697412639313675,0.689429944948983,0.0697412639313675,0.689429944948983,1
6.9,1,13.1299228259688,1,13.1299228259688,0.0725263980699579,0.550522592658851,0.0725263980699579,0.550522592658851,0.0703731688957074,0.695583490730887,0.0703731688957074,0.695583490730887,1
7,1,14.0297950081553,1,14.0297950081553,0.0734026205099733,0.573254967325657,0.0734026205099733,0.573254967325657,0.0709922950544542,0.701574198037638,0.0709922950544542,0.701574198037638,1
7.1,1,14.8374465837915,1,14.8374465837915,0.0742306754486529,0.598690093994742,0.0742306754486529,0.598690093994742,0.0715988992203075,0.707409031391564,0.0715988992203075,0.707409031391564,1
7.2,1,15.537466752994,1,15.537466752994,0.0750055224140324,0.626462940625771,0.0750055224140324,0.626462940625771,0.0721932331879693,0.713095479955403,0.0721932331879693,0.713095479955403,1
7.3,1,16.1167698961278,1,16.1167698961278,0.0757229042763577,0.656155197048905,0.0757229042763577,0.656155197048905,0.0727755438602379,0.718641452472279,0.0727755438602379,0.718641452472279,1
7.4,1,16.5648371165571,1,16.5648371165571,0.0763794458404473,0.687303238861511,0.0763794458404473,0.687303238861511,0.0733460733673107,0.724055163756143,0.0733460733673107,0.724055163756143,1
7.5,1,16.8739035684717,1,16.8739035684717,0.0769727355162912,0.719407085294623,0.0769727355162912,0.719407085294623,0.0739050591790617,0.729345015133598,0.0739050591790618,0.729345015133598,1
7.6,1,17.0390883170744,1,17.0390883170744,0.0775013882509187,0.751940180077829,0.0775013882509187,0.751940180077829,0.0744527342101664,0.734519471335318,0.0744527342101664,0.734519471335318,1
7.7,1,17.058464671136,1,17.058464671136,0.0779650882648431,0.784359805997845,0.0779650882648431,0.784359805997845,0.0749893269180438,0.7395869363811,0.0749893269180438,0.7395869363811,1
7.8,1,16.9330701505707,1,16.9330701505707,0.0783646105296924,0.816117929152872,0.0783646105296924,0.816117929152872,0.0755150613936975,0.744555630996569,0.0755150613936975,0.744555630996569,1
7.9,1,16.6668564792655,1,16.6668564792655,0.0787018203423544,0.846672258185061,0.0787018203423544,0.846672258185061,0.076030157445634,0.749433474042284,0.076030157445634,0.749433474042284,1
8,1,16.266581201058,1,16.266581201058,0.078979650786886,0.875497297283334,0.078979650786886,0.875497297283334,0.0765348306771387,0.754227970329236,0.0765348306771387,0.754227970329236,1
8.1,1,15.7416436803154,1,15.7416436803154,0.0792020583199409,0.902095169661792,0.0792020583199409,0.902095169661792,0.077029292557282,0.758946107041052,0.077029292557282,0.758946107041052,1
